ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,399.40,128,14.24,52184460
4096,2048,397.90,128,14.27,80373132
6144,2048,391.67,128,14.29,108561804
8192,2048,383.60,128,14.10,136750476
10240,2048,383.09,128,14.04,164939148
12288,2048,371.70,128,13.98,193127820
14336,2048,369.67,128,13.94,221316492
16384,2048,365.82,128,13.97,249505164
18432,2048,361.73,128,13.88,277693836
20480,2048,362.81,128,13.83,305882508
22528,2048,364.81,128,13.76,334071180
24576,2048,361.11,128,13.69,362259852
26624,2048,358.59,128,13.59,390448524
28672,2048,354.81,128,13.52,418637196
30720,2048,350.09,128,13.42,446825868
32768,2048,344.83,128,13.05,475014540
34816,2048,330.07,128,12.95,503203212
36864,2048,326.91,128,12.90,531391884
38912,2048,324.63,128,12.85,559580556
40960,2048,326.75,128,12.83,587769228
43008,2048,326.13,128,12.79,615957900
45056,2048,323.32,128,12.72,644146572
47104,2048,319.36,128,12.67,672335244
49152,2048,313.65,128,12.65,700523916
51200,2048,307.69,128,12.57,728712588
53248,2048,305.52,128,12.48,756901260
55296,2048,301.91,128,12.43,785089932
57344,2048,299.47,128,12.37,813278604
59392,2048,296.47,128,12.32,841467276
61440,2048,291.66,128,12.24,869655948
63488,2048,290.23,128,12.19,897844620
65536,2048,288.12,128,12.15,926033292
