ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,402.08,128,16.13,52184460
4096,2048,401.50,128,14.75,80373132
6144,2048,395.44,128,16.58,108561804
8192,2048,390.81,128,15.53,136750476
10240,2048,385.00,128,15.56,164939148
12288,2048,381.99,128,14.29,193127820
14336,2048,378.14,128,15.39,221316492
16384,2048,375.71,128,15.81,249505164
18432,2048,372.70,128,14.82,277693836
20480,2048,368.65,128,15.14,305882508
22528,2048,366.02,128,16.07,334071180
24576,2048,362.30,128,14.89,362259852
26624,2048,359.39,128,14.77,390448524
28672,2048,356.09,128,14.91,418637196
30720,2048,353.26,128,15.91,446825868
32768,2048,350.38,128,15.21,475014540
34816,2048,335.28,128,14.91,503203212
36864,2048,333.63,128,13.70,531391884
38912,2048,331.22,128,14.54,559580556
40960,2048,328.84,128,13.43,587769228
43008,2048,325.09,128,13.79,615957900
45056,2048,322.57,128,12.97,644146572
47104,2048,319.51,128,13.19,672335244
49152,2048,315.54,128,13.48,700523916
51200,2048,311.28,128,12.95,728712588
53248,2048,309.30,128,12.98,756901260
55296,2048,307.39,128,12.48,785089932
57344,2048,306.35,128,13.59,813278604
59392,2048,302.59,128,12.91,841467276
61440,2048,300.40,128,13.02,869655948
63488,2048,298.16,128,13.05,897844620
65536,2048,296.09,128,13.17,926033292
