epoch	iso	cell	iter	phase
1779937196	2026-05-27T19:59:56-07:00	plain	1	start
1779937299	2026-05-27T20:01:39-07:00	plain	1	end
1779937299	2026-05-27T20:01:39-07:00	plain	2	start
1779937404	2026-05-27T20:03:24-07:00	plain	2	end
1779937404	2026-05-27T20:03:24-07:00	plain	3	start
1779937508	2026-05-27T20:05:08-07:00	plain	3	end
1779937508	2026-05-27T20:05:08-07:00	mtp-greedy	1	start
1779937614	2026-05-27T20:06:54-07:00	mtp-greedy	1	end
1779937614	2026-05-27T20:06:54-07:00	mtp-greedy	2	start
1779937718	2026-05-27T20:08:38-07:00	mtp-greedy	2	end
1779937718	2026-05-27T20:08:38-07:00	mtp-greedy	3	start
1779937823	2026-05-27T20:10:23-07:00	mtp-greedy	3	end
1779937823	2026-05-27T20:10:23-07:00	mtp-sample	1	start
1779937928	2026-05-27T20:12:08-07:00	mtp-sample	1	end
1779937928	2026-05-27T20:12:08-07:00	mtp-sample	2	start
1779938032	2026-05-27T20:13:52-07:00	mtp-sample	2	end
1779938032	2026-05-27T20:13:52-07:00	mtp-sample	3	start
