timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks_event_reasons.active, utilization.gpu [%]
2026/05/27 19:30:40.941, 40, 4.36, 208, 0x0000000000000000, 0
2026/05/27 19:30:41.983, 41, 5.79, 2418, 0x0000000000000000, 0
2026/05/27 19:30:42.983, 41, 10.14, 2411, 0x0000000000000000, 0
2026/05/27 19:30:43.984, 41, 10.19, 2411, 0x0000000000000000, 0
2026/05/27 19:30:44.984, 42, 10.21, 2411, 0x0000000000000000, 0
2026/05/27 19:30:45.985, 42, 10.16, 2411, 0x0000000000000000, 0
2026/05/27 19:30:46.985, 42, 10.23, 2411, 0x0000000000000000, 0
2026/05/27 19:30:47.986, 42, 10.19, 2411, 0x0000000000000000, 0
2026/05/27 19:30:48.986, 42, 10.21, 2411, 0x0000000000000000, 0
2026/05/27 19:30:49.986, 42, 10.18, 2411, 0x0000000000000000, 0
2026/05/27 19:30:50.987, 42, 10.21, 2411, 0x0000000000000000, 0
2026/05/27 19:30:51.987, 42, 10.32, 2411, 0x0000000000000000, 0
2026/05/27 19:30:52.988, 42, 10.28, 2411, 0x0000000000000000, 0
2026/05/27 19:30:53.988, 42, 10.25, 2411, 0x0000000000000000, 0
2026/05/27 19:30:54.989, 42, 10.23, 2411, 0x0000000000000000, 0
2026/05/27 19:30:55.989, 42, 10.26, 2411, 0x0000000000000000, 0
2026/05/27 19:30:56.990, 42, 10.31, 2411, 0x0000000000000000, 0
2026/05/27 19:30:57.990, 42, 10.22, 2411, 0x0000000000000000, 0
2026/05/27 19:30:58.991, 42, 10.20, 2411, 0x0000000000000000, 0
2026/05/27 19:30:59.991, 42, 10.19, 2411, 0x0000000000000000, 0
2026/05/27 19:31:00.992, 42, 10.20, 2411, 0x0000000000000000, 0
2026/05/27 19:31:01.992, 42, 10.31, 2411, 0x0000000000000000, 0
2026/05/27 19:31:02.993, 42, 10.15, 2411, 0x0000000000000000, 0
2026/05/27 19:31:03.993, 42, 10.18, 2411, 0x0000000000000000, 0
2026/05/27 19:31:04.994, 42, 10.17, 2411, 0x0000000000000000, 0
2026/05/27 19:31:05.994, 42, 10.23, 2411, 0x0000000000000000, 0
2026/05/27 19:31:06.995, 43, 10.33, 2411, 0x0000000000000000, 0
2026/05/27 19:31:07.995, 43, 10.25, 2411, 0x0000000000000000, 0
2026/05/27 19:31:08.995, 43, 10.27, 2411, 0x0000000000000000, 0
2026/05/27 19:31:09.996, 43, 10.32, 2411, 0x0000000000000000, 0
2026/05/27 19:31:10.996, 43, 10.29, 2411, 0x0000000000000000, 0
2026/05/27 19:31:11.997, 43, 10.42, 2411, 0x0000000000000000, 0
2026/05/27 19:31:12.997, 43, 10.39, 2411, 0x0000000000000000, 0
2026/05/27 19:31:13.998, 43, 10.37, 2411, 0x0000000000000000, 0
2026/05/27 19:31:14.998, 43, 10.35, 2411, 0x0000000000000000, 0
2026/05/27 19:31:15.999, 43, 10.36, 2411, 0x0000000000000000, 0
2026/05/27 19:31:16.999, 43, 10.45, 2411, 0x0000000000000000, 0
2026/05/27 19:31:18.000, 43, 10.39, 2411, 0x0000000000000000, 0
2026/05/27 19:31:19.000, 43, 10.35, 2411, 0x0000000000000000, 0
2026/05/27 19:31:20.001, 43, 10.35, 2411, 0x0000000000000000, 0
2026/05/27 19:31:21.001, 43, 10.44, 2411, 0x0000000000000000, 0
2026/05/27 19:31:22.002, 43, 10.52, 2411, 0x0000000000000000, 0
2026/05/27 19:31:23.003, 43, 10.42, 2411, 0x0000000000000000, 0
2026/05/27 19:31:24.003, 43, 10.41, 2411, 0x0000000000000000, 0
2026/05/27 19:31:25.004, 43, 10.39, 2411, 0x0000000000000000, 0
2026/05/27 19:31:26.004, 43, 10.45, 2411, 0x0000000000000000, 0
2026/05/27 19:31:27.004, 43, 10.54, 2411, 0x0000000000000000, 0
2026/05/27 19:31:28.005, 43, 10.51, 2411, 0x0000000000000000, 0
